Feature,Importance
Feature 2668,2.099243524565013
Feature 3847,1.2134358808108432
Feature 3296,1.2133236807830665
Feature 2867,1.1255837544962302
Feature 738,1.1087942583337138
Feature 614,1.098595134150409
Feature 1773,1.0827227234931205
Feature 4344,1.0794962860694886
Feature 1159,1.057976260184279
Feature 3050,1.0546514879124527
Feature 275,1.0479750468692077
Feature 4303,1.0450932685014651
Feature 1464,1.042461154160907
Feature 225,1.0350516713983038
Feature 1088,1.0209587989181195
Feature 3094,1.0188056102715917
Feature 4357,1.0164394330347064
Feature 1704,1.0102467235662957
Feature 2322,1.0035056042478943
Feature 1646,0.9935293275306698
Feature 2909,0.992326718513803
Feature 406,0.9905233641279196
Feature 2880,0.9900597610414958
Feature 2721,0.9873602749779484
Feature 229,0.9840569577838727
Feature 2371,0.9780651659549848
Feature 2441,0.9751384722231551
Feature 3600,0.974595010427566
Feature 4710,0.971513707876295
Feature 3568,0.9702796277205307
Feature 4662,0.964781483335224
Feature 3734,0.9579586800620582
Feature 1540,0.9506939530951074
Feature 4047,0.9497863327200029
Feature 4983,0.9479177570857183
Feature 2698,0.9473371605645744
Feature 1491,0.9429659927085676
Feature 3765,0.9351337888663631
Feature 1936,0.9350644696464308
Feature 1522,0.9298103239406255
Feature 1938,0.9253070143888363
Feature 2306,0.9189791504711531
Feature 5104,0.9176400584445414
Feature 3884,0.9175397961886628
Feature 2825,0.9175364855276102
Feature 4550,0.9171150991106802
Feature 1188,0.9143431366587741
Feature 2389,0.9014018017616054
Feature 1185,0.8924373604857321
Feature 2154,0.8923173336505874
Feature 3338,0.8910915551627131
Feature 353,0.8905792448462624
Feature 620,0.8896159400997471
Feature 1341,0.8890096572994549
Feature 3811,0.8832875219729377
Feature 3904,0.8809721677860946
Feature 4745,0.8784952505617515
Feature 3710,0.8746238582881997
Feature 26,0.8717066672649165
Feature 4403,0.8668320168938421
Feature 4773,0.8571678569197608
Feature 1518,0.8536144610792453
Feature 5061,0.8535600704553129
Feature 1699,0.8513527042109382
Feature 3401,0.8508640027160125
Feature 4009,0.8496524984584009
Feature 2828,0.8430720425330247
Feature 2779,0.8429839206467025
Feature 3211,0.8377844714665258
Feature 2628,0.837105533909494
Feature 4084,0.8339844697642285
Feature 3520,0.8337603804267758
Feature 3691,0.8321444751220126
Feature 4737,0.8315988368905625
Feature 1265,0.8312000050167626
Feature 2405,0.8292389751622222
Feature 1871,0.8246320933053577
Feature 4575,0.8243339272639675
Feature 2947,0.8242250249904158
Feature 3548,0.8233060190174543
Feature 2781,0.8217045510407102
Feature 1046,0.8183684111313461
Feature 1633,0.8181698717320101
Feature 2761,0.8170874121717194
Feature 2571,0.8147332197034508
Feature 2326,0.8146969617319245
Feature 5051,0.8146316021508075
Feature 2518,0.8118620934648175
Feature 114,0.8091782967678816
Feature 3475,0.805393869726406
Feature 3442,0.8040060002140285
Feature 4032,0.8026638616258067
Feature 509,0.8024345010958285
Feature 748,0.8014391788126783
Feature 3768,0.800107199682935
Feature 2234,0.8000181405791104
Feature 1842,0.7996972367976707
Feature 136,0.796268185815983
Feature 4082,0.7958564471991523
Feature 1478,0.7954636958565414
Feature 2737,0.793702351630312
Feature 1095,0.7929887567738914
Feature 3045,0.7895827635399113
Feature 1195,0.7890273620054717
Feature 1503,0.7888121283817147
Feature 4300,0.787413544926326
Feature 4733,0.7873236594628976
Feature 4882,0.786648820058637
Feature 4314,0.7866136864406735
Feature 3243,0.7849882979361286
Feature 2239,0.7846675497851753
Feature 4588,0.7843222268047957
Feature 4286,0.7824999691624945
Feature 4416,0.7815515873669903
Feature 855,0.7812112614659219
Feature 2962,0.7778519889272963
Feature 2459,0.7754465312353435
Feature 1968,0.7742424500814921
Feature 791,0.7721236229773283
Feature 3147,0.7697052795569614
Feature 209,0.7679842778805412
Feature 217,0.7674848763859756
Feature 2683,0.766933300561542
Feature 3165,0.7667132987142005
Feature 675,0.7647170447140519
Feature 4938,0.7645196277078952
Feature 1865,0.7627458367305403
Feature 667,0.7625142660779561
Feature 489,0.7614809001913223
Feature 623,0.7600319430862967
Feature 5062,0.7585790337608294
Feature 329,0.7580814820635525
Feature 3229,0.7580032477348387
Feature 4691,0.7572110041143442
Feature 1334,0.7556248124224505
Feature 551,0.755289739004919
Feature 2369,0.754655664694776
Feature 829,0.7532275841098113
Feature 3789,0.7532122444436046
Feature 4226,0.7531038377609749
Feature 490,0.7510258937086374
Feature 3061,0.7508610512982354
Feature 3142,0.7498001960617744
Feature 2065,0.7463628009724439
Feature 3318,0.7454189807036428
Feature 4099,0.7448044146557529
Feature 3846,0.7438658346521072
Feature 1219,0.7432764396258471
Feature 3593,0.742619117953319
Feature 924,0.7410121469347505
Feature 4457,0.7367258531117086
Feature 2884,0.7342886459211405
Feature 4824,0.7335686722130541
Feature 2557,0.7311012393540743
Feature 2820,0.7306940854466014
Feature 1763,0.7305868943771809
Feature 3166,0.7300459854626229
Feature 3841,0.7296190423500581
Feature 2676,0.7296027143699051
Feature 3693,0.7288590574724043
Feature 372,0.7274719619563167
Feature 4240,0.7269533084934265
Feature 173,0.7258521112365156
Feature 281,0.7255748364653369
Feature 369,0.7253768479107363
Feature 4570,0.7253541172781985
Feature 2030,0.7242497269385509
Feature 3404,0.7239346099371654
Feature 1445,0.7189038497805466
Feature 2819,0.7173739081697467
Feature 732,0.7170579713752084
Feature 3411,0.7159300692625772
Feature 3617,0.7152864730257231
Feature 1326,0.7143849699463649
Feature 234,0.7139887928927291
Feature 2439,0.7126577983507623
Feature 2996,0.7124521970168686
Feature 4464,0.7121592302776858
Feature 2808,0.711638627743689
Feature 3234,0.7114913028976553
Feature 4839,0.7110527549000533
Feature 59,0.7110176819943889
Feature 3815,0.7100535929543189
Feature 1657,0.7095890265136094
Feature 714,0.7080601102136322
Feature 2136,0.7053457432934034
Feature 1132,0.7051510288766876
Feature 2189,0.7039457997394564
Feature 3470,0.7038265653890983
Feature 2221,0.7024921178128143
Feature 850,0.7020987645873081
Feature 5100,0.7015394390151855
Feature 3102,0.7014778526761275
Feature 3329,0.6987848335053801
Feature 2805,0.6957625912158699
Feature 2824,0.6957118983839885
Feature 3201,0.6932289694418772
Feature 1782,0.6922620326122185
Feature 1328,0.6913594888425095
Feature 4092,0.6887856716422739
Feature 2561,0.6882004798157673
Feature 4285,0.6876211443935139
Feature 1387,0.6863196601573985
Feature 762,0.6858361584319435
Feature 2242,0.685096335875976
Feature 1667,0.6839005602354967
Feature 3266,0.6838429559023579
Feature 4507,0.6829072999973674
Feature 483,0.6803102486802629
Feature 3587,0.6791074885504768
Feature 4826,0.6786281093527105
Feature 3361,0.6782664057016561
Feature 1120,0.6770953690987992
Feature 3586,0.6748775776809607
Feature 1325,0.6738421157413258
Feature 4124,0.6732528529921036
Feature 1433,0.6732114827038475
Feature 2114,0.6731288438247095
Feature 3035,0.6728407298936285
Feature 3816,0.6725798526921469
Feature 881,0.6720547116503772
Feature 629,0.6709362647758499
Feature 3916,0.6695249751905183
Feature 1053,0.6694227546314098
Feature 1017,0.6683425332504627
Feature 1935,0.6680838280645874
