Feature,Importance
Feature 931,0.08671151726451451
Feature 2082,0.07212305052746669
Feature 4381,0.07008175919844747
Feature 2475,0.06858453409622903
Feature 3151,0.06666648125577816
Feature 385,0.0664817137721813
Feature 191,0.06611909102124462
Feature 1693,0.06569288012873728
Feature 2920,0.06452322880077374
Feature 2563,0.06333697353128695
Feature 32,0.06257555567757561
Feature 3781,0.06187983333876611
Feature 1275,0.0618215259095384
Feature 4189,0.059411317627941475
Feature 1764,0.05914842715965679
Feature 1791,0.05875137241194175
Feature 2041,0.0579179660905184
Feature 4386,0.057810456750477746
Feature 2670,0.05743069238187794
Feature 2937,0.057247995568076845
Feature 3993,0.057075105202970634
Feature 242,0.05705321513651106
Feature 276,0.0564797138102537
Feature 2609,0.05623569560080262
Feature 3899,0.0561355867113861
Feature 4097,0.055607483632657106
Feature 4660,0.05559326592713445
Feature 3704,0.055434831181001655
Feature 3043,0.05495445983179784
Feature 4822,0.05455343635815986
Feature 4458,0.05439631262081777
Feature 5088,0.054278761238163796
Feature 627,0.05407396063338489
Feature 1059,0.053807494879769935
Feature 3578,0.053395957985533996
Feature 355,0.05301118800559015
Feature 51,0.05294855343561784
Feature 3919,0.05272396706850154
Feature 4039,0.05270322131114451
Feature 2931,0.052458513832092546
Feature 709,0.052409065365323027
Feature 3821,0.052166550804810266
Feature 4288,0.05186391108805936
Feature 3798,0.05121964619720545
Feature 4752,0.05107837179388423
Feature 650,0.050993546123000076
Feature 1287,0.05093974747396757
Feature 3245,0.05067385952662797
Feature 1784,0.05050003750354506
Feature 4881,0.05021426487079805
Feature 1016,0.04991833619348266
Feature 1923,0.04983131342208569
Feature 678,0.0497717270365309
Feature 3520,0.04976147850623677
Feature 3636,0.04958427570896031
Feature 2074,0.04945630507293873
Feature 2276,0.04934557308087171
Feature 5042,0.0490742631906862
Feature 2950,0.048512508727897675
Feature 3622,0.04827448503838083
Feature 1991,0.048115159024213705
Feature 1645,0.04750967851348119
Feature 1949,0.047265901722548374
Feature 1723,0.04714775575736648
Feature 3286,0.047048345686541385
Feature 2406,0.046869361176529414
Feature 5116,0.04684515184715119
Feature 1614,0.04683329924138736
Feature 3639,0.046804011185079576
Feature 3595,0.04679469729744053
Feature 3282,0.046589930679370097
Feature 3977,0.04656799154680623
Feature 3866,0.04622614270045415
Feature 259,0.04618831856684656
Feature 1863,0.04617784909356101
Feature 3896,0.04617662417380501
Feature 5118,0.046115621738073945
Feature 4828,0.04610949097129992
Feature 2830,0.0459082343870879
Feature 2019,0.045633764647082395
Feature 1394,0.04556168267221951
Feature 2489,0.045527015760396125
Feature 4406,0.04543563912549126
Feature 2227,0.04535595017574685
Feature 565,0.045332130739469415
Feature 1004,0.04513085409766064
Feature 1684,0.04509851146678748
Feature 2363,0.04492972641298772
Feature 141,0.04489756236107907
Feature 4000,0.04487236212383764
Feature 115,0.044870627177746085
Feature 2027,0.0446069633552825
Feature 146,0.044565976821769854
Feature 4894,0.044525503466205804
Feature 1788,0.04443250512435628
Feature 3609,0.04423511337777572
Feature 2338,0.04405455009083029
Feature 537,0.044042152304570384
Feature 3346,0.0440015933202164
