Feature,Importance
Feature 4822,0.019777579364711594
Feature 4304,0.016746792674158694
Feature 2192,0.01663003910423528
Feature 2566,0.016067494375673366
Feature 2936,0.015842639537798457
Feature 4632,0.015246047219978326
Feature 5077,0.01512339602453112
Feature 104,0.015063743153080447
Feature 3590,0.014961381227471472
Feature 3170,0.014671182784376569
Feature 2132,0.014612368814510049
Feature 3801,0.014215945887987127
Feature 4395,0.014195189519159846
Feature 3164,0.014127396316038562
Feature 3910,0.01402128988235897
Feature 1127,0.013979854535600827
Feature 3094,0.013864297212265323
Feature 1583,0.013844587942306901
Feature 4394,0.013803889877137255
Feature 4586,0.013802517689626268
Feature 4796,0.013569053649588839
Feature 125,0.013508702681857332
Feature 4406,0.013393841435408116
Feature 4232,0.013374890008564436
Feature 2167,0.01334504853831354
Feature 3009,0.013338992929837812
Feature 3134,0.013003239680807143
Feature 1919,0.012961311124853913
Feature 1463,0.01292946041926599
Feature 4905,0.012915997835437232
Feature 1715,0.012899732933134752
Feature 2782,0.012832340667112075
Feature 3619,0.012777439519885567
Feature 1763,0.012769856743643893
Feature 602,0.012715668857544767
Feature 1852,0.012653153991955027
Feature 2530,0.012564503365781899
Feature 3969,0.012561628803985148
Feature 3855,0.012532344382901772
Feature 4518,0.012531464645838425
Feature 2858,0.012460763955468253
Feature 845,0.012383110170624871
Feature 2278,0.012378222539583043
Feature 2183,0.012369085257999518
Feature 3002,0.012299952907490969
Feature 3406,0.01219647804866182
Feature 4103,0.012082491966410234
Feature 777,0.012081942932726391
Feature 1186,0.01203419178078581
Feature 2719,0.011988431908433038
Feature 1593,0.011795427215073973
Feature 694,0.011649197550846684
Feature 3108,0.011635141378033268
Feature 4538,0.011609774948995847
Feature 2678,0.011557710165055197
Feature 1631,0.011532439325481087
Feature 460,0.011502105324281784
Feature 2613,0.011493197554792967
Feature 783,0.011459185010025
Feature 5105,0.011446128404504007
Feature 1135,0.011396654701025358
Feature 4962,0.011382072731120373
Feature 3410,0.011363146317354054
Feature 1286,0.011314149613807582
Feature 599,0.011278133781102066
Feature 2658,0.011243529796736356
Feature 3445,0.01123685880198558
Feature 3016,0.011178991226479335
Feature 283,0.011164521406854646
Feature 3370,0.011160699295527016
Feature 5114,0.011146187978184653
Feature 4462,0.011110510488230616
Feature 1813,0.011085143557272317
Feature 3401,0.011074468538588324
Feature 1445,0.011065775765139618
Feature 462,0.011061344126945635
Feature 3890,0.011043912325033994
Feature 4124,0.011010714621062522
Feature 3919,0.010918637381771849
Feature 112,0.010862016473359255
Feature 2942,0.010851484244145348
Feature 764,0.010788018074732486
Feature 543,0.010780123106807945
Feature 4110,0.010767116117558718
Feature 3628,0.010724604563293341
Feature 3194,0.010720094604021343
Feature 3983,0.010709642208260341
Feature 2119,0.010670970975382313
Feature 4988,0.010637935560174469
Feature 769,0.010633941045731784
Feature 2606,0.010631043083793403
Feature 2485,0.010612167126102422
Feature 4593,0.01059309552098886
Feature 2050,0.010546986659506548
Feature 961,0.01054372438417481
Feature 1082,0.010484555409651325
Feature 4086,0.010478317335133751
Feature 4006,0.010463138463799421
Feature 3382,0.010445630240502598
Feature 3,0.010412008059637901
Feature 2790,0.010392462231356656
Feature 4578,0.010390235765950565
Feature 1858,0.010330092150163178
Feature 5017,0.010273987159895788
Feature 4090,0.010267092081587258
Feature 2442,0.010260064260420029
Feature 1066,0.010258231961252851
Feature 617,0.010233936009157202
Feature 785,0.010217309981895132
Feature 3803,0.01018629715055588
Feature 1315,0.01016794247354579
Feature 1706,0.01012244468026744
Feature 4430,0.010102624194421844
Feature 2972,0.010080840080086206
Feature 1790,0.010065359438965287
Feature 3201,0.01005455453696635
Feature 2172,0.010015217401767858
Feature 1308,0.010005780356281318
Feature 3386,0.009973292954596036
Feature 4918,0.009946834175859858
Feature 3791,0.009911405839948394
Feature 2595,0.00991033199749075
Feature 4214,0.009898168392962545
Feature 117,0.009831450415479791
Feature 3429,0.009826717820729379
Feature 2651,0.009819280579122045
Feature 4128,0.009780170251815577
Feature 19,0.009775389244113726
Feature 2481,0.009764583122318945
Feature 227,0.00976136652695917
Feature 3460,0.00973833576367443
Feature 2206,0.009669314828512637
Feature 299,0.009656783503842966
Feature 4081,0.009618013935859593
Feature 3197,0.009584913269838144
Feature 2131,0.009583285291659869
Feature 3915,0.009577698822778147
Feature 3313,0.009571751800900388
Feature 5052,0.009559482674904864
Feature 74,0.009552013845833965
Feature 2384,0.00954899075914138
Feature 4470,0.009513848999992223
Feature 30,0.009502363063182372
Feature 2025,0.00949543454343436
Feature 1270,0.009487378513838466
Feature 2939,0.009417455317108251
Feature 3689,0.00940550600030558
Feature 126,0.009388342436784594
Feature 3667,0.009372315718088813
Feature 3226,0.00937190487646724
Feature 1923,0.009369483802885905
Feature 2774,0.009351361411404554
Feature 1235,0.009341722857956316
Feature 4208,0.009337282409201578
Feature 2545,0.009335091517092161
Feature 4989,0.009322202380603838
Feature 1553,0.009318953260118978
Feature 3000,0.009279552675084232
Feature 4293,0.009279182658249452
Feature 4047,0.009264017814691486
Feature 2692,0.009259582216254031
Feature 3610,0.009257791582464057
Feature 3572,0.009256097582800096
Feature 2980,0.009250116214385606
Feature 4216,0.009226217850366484
Feature 4318,0.009219432743633111
Feature 3845,0.009189998510510623
Feature 26,0.00918859799132708
Feature 454,0.009182858898148818
Feature 2867,0.009179690575350079
Feature 4574,0.009159642764016918
Feature 3773,0.009135154441075294
Feature 724,0.009117483319874147
Feature 31,0.009115203107379241
Feature 2832,0.00911492688713696
Feature 4699,0.009111433934465323
Feature 3847,0.00909635878016605
Feature 2821,0.009079683022154852
Feature 4984,0.009066461889897438
Feature 3172,0.009065123038036246
Feature 415,0.009028417383246185
Feature 5025,0.009020597333780273
Feature 2403,0.008999660184908616
Feature 2141,0.008977106594631034
Feature 865,0.008960567828705588
Feature 5074,0.00888955178116611
Feature 3929,0.008887304669207927
Feature 4212,0.00888191340579491
Feature 1741,0.008879295227252872
Feature 1668,0.008869647955040767
Feature 1304,0.008861568300978897
Feature 4581,0.008859725913967803
Feature 4256,0.008844531880765932
Feature 4321,0.008837801284700162
Feature 1051,0.008836849125831079
Feature 4060,0.008792306206140216
Feature 1207,0.008761893119882475
Feature 4240,0.008743837620618927
Feature 2675,0.008737998968400214
Feature 4179,0.008730717470361613
Feature 2860,0.008691410758649026
Feature 622,0.008684762170319396
Feature 2207,0.008677777773081324
Feature 4680,0.008676772279192932
Feature 1140,0.008673064902150066
Feature 2254,0.008619317277519713
Feature 4072,0.008618222302960232
Feature 3348,0.008607705709196712
Feature 4185,0.00858273693629183
Feature 1799,0.008581986547092723
Feature 2388,0.008573701028738672
Feature 1625,0.008561680277317364
Feature 763,0.008554478036781887
Feature 4045,0.008552443757122212
Feature 35,0.008549076264402568
Feature 56,0.008534185609696356
Feature 905,0.008517381482379982
Feature 2598,0.00850395285125078
Feature 888,0.008501290727932412
Feature 2699,0.008498161128393151
Feature 1149,0.008475044112806552
Feature 571,0.008470799118276624
Feature 4009,0.008461352640285713
Feature 4308,0.008458252641951765
Feature 2544,0.008456445550821038
Feature 1623,0.008441773310313086
Feature 795,0.008426445720175615
Feature 2401,0.008426122032491361
Feature 1415,0.008397793133807346
Feature 336,0.008380344635848695
Feature 2850,0.008376175921445276
Feature 1875,0.008365318573226383
Feature 3766,0.008365120509912494
Feature 4351,0.008346539922114623
Feature 278,0.008343202362604019
Feature 4282,0.008336983276029691
Feature 572,0.008312467426569986
Feature 2524,0.00830517648550138
Feature 751,0.00830013950914234
Feature 113,0.008294958142921138
Feature 744,0.008280458658942754
Feature 2463,0.008269099146291908
Feature 3063,0.008263521987122399
Feature 919,0.008261048461705424
Feature 1168,0.008259061380993677
Feature 486,0.00825844229224498
Feature 1845,0.008242759213577578
Feature 1303,0.008223492258643264
Feature 3579,0.00821531246492516
Feature 3133,0.008206901014303266
Feature 3490,0.008188954614851963
Feature 3522,0.0081861676209081
Feature 2029,0.008184401740330142
Feature 3748,0.008174147904055452
Feature 188,0.008154994649377712
Feature 2399,0.008146015653320718
Feature 2886,0.008138748086815983
Feature 5026,0.008128007705702132
Feature 988,0.00812728119540535
Feature 4600,0.008109468392355351
Feature 4829,0.00809704616156746
Feature 3158,0.00808343830502846
