Feature,Importance
Feature 1777,0.3435777784359744
Feature 3287,0.2597088780896968
Feature 239,0.24345142884384635
Feature 4093,0.23056039353927588
Feature 1512,0.224811439343995
Feature 268,0.22291890931352443
Feature 4749,0.22291417292944615
Feature 3162,0.22214038964774616
Feature 4996,0.21372818722551096
Feature 3908,0.2116408267511764
Feature 4082,0.21152264425196074
Feature 975,0.20867823801995605
Feature 3104,0.20508036298927995
Feature 2217,0.20456830061869652
Feature 2421,0.20196360669348362
Feature 4076,0.20029696935222902
Feature 4686,0.19351178992881074
Feature 35,0.193327815814422
Feature 1667,0.1932066568211525
Feature 808,0.19019894339407792
Feature 4022,0.18850703357401002
Feature 887,0.18463299157511215
Feature 3014,0.18388295892451464
Feature 1088,0.18103695828414226
Feature 1129,0.17949273401433263
Feature 2058,0.17606609142085644
Feature 3455,0.17477109561573284
Feature 4395,0.1736737254020863
Feature 1855,0.1736716519813317
Feature 3525,0.17343424688561176
Feature 2694,0.1727130106859444
Feature 2384,0.17171941704249497
Feature 627,0.17072944553722458
Feature 3684,0.1692067425043531
Feature 4546,0.16821403804764015
Feature 4519,0.1678717267489911
Feature 3467,0.16737119816354462
Feature 2913,0.16701834100694768
Feature 913,0.16639630612331519
Feature 739,0.1663747165178558
Feature 1721,0.16620788531997924
Feature 1803,0.1655997646469692
Feature 3009,0.16556278944275613
Feature 2394,0.1648439700197689
Feature 1319,0.16479433628905582
Feature 779,0.1645950136982829
Feature 1307,0.16435447634665612
Feature 4342,0.1638017437341985
Feature 2532,0.16379658360163935
Feature 3068,0.16336518475770595
Feature 1187,0.16045897354090227
Feature 1856,0.16039580984953408
Feature 2176,0.16010242627469512
Feature 248,0.160042202395809
Feature 791,0.1598929603141884
Feature 269,0.15932587964257916
Feature 1989,0.15799723889805878
Feature 2387,0.15745164008393933
Feature 3191,0.15624152336738473
Feature 4270,0.1554588040222962
Feature 3357,0.15502811161607105
Feature 509,0.15430702527318296
Feature 4378,0.15390495299402537
Feature 4277,0.1537304373810108
Feature 199,0.15342476430024207
Feature 2833,0.15287257526795103
Feature 4122,0.1526286954951129
Feature 3418,0.15240636234165014
Feature 4429,0.15174837978289343
Feature 3968,0.15007780762066142
