Feature,Importance
Feature 4822,0.005205490307697329
Feature 609,0.004115601340233183
Feature 1693,0.004084200380284135
Feature 944,0.0036222226654955003
Feature 3520,0.003455406856967577
Feature 3714,0.003384214673441302
Feature 104,0.003366600588007105
Feature 4035,0.003327414087752348
Feature 658,0.0033185511799581737
Feature 3016,0.0033080743975783013
Feature 2450,0.0033069862812210755
Feature 1159,0.0032990955464990853
Feature 3387,0.0032755157094304967
Feature 2824,0.0032293303542454644
Feature 1576,0.003224703426741366
Feature 4889,0.003212164920615688
Feature 1760,0.0031982641103730676
Feature 4835,0.0031737423703721928
Feature 4812,0.003146921508388896
Feature 4458,0.003144989610434831
Feature 2622,0.0031410856276138334
Feature 3970,0.0030598565578412425
Feature 1384,0.003058561363972787
Feature 2282,0.003017022340864316
Feature 5099,0.003003631759059049
Feature 3783,0.002988437720534232
Feature 2948,0.002947422688349159
Feature 777,0.002944487616041142
Feature 4906,0.0029029381158938734
Feature 2204,0.0028773567498368564
Feature 3492,0.0028766980171129803
Feature 2909,0.002876586421859679
Feature 305,0.0028614173810932023
Feature 537,0.002857033603311938
Feature 2591,0.002840342195049518
Feature 2219,0.00282757595085787
Feature 73,0.0027741655242181874
Feature 2968,0.0027706786009753575
Feature 891,0.0027693170012079954
Feature 4000,0.0027529897613167266
Feature 3913,0.002741853030537182
Feature 2959,0.0027394886124555897
Feature 647,0.002732373752650596
Feature 4093,0.0027292114670569917
Feature 3286,0.002721459060415723
Feature 3899,0.0027190501202212065
Feature 993,0.0027154015892378717
Feature 1298,0.0026865282689008544
Feature 134,0.0026809150482394787
Feature 3279,0.002668692851244578
Feature 1303,0.0026673390384539695
Feature 4761,0.002667257882122292
Feature 2660,0.002655428876592406
Feature 4347,0.0026507929613711957
Feature 3170,0.0026506317605272988
Feature 413,0.002643959048713047
Feature 4049,0.0026407881763413545
Feature 3200,0.002639540255782925
Feature 4662,0.0026318221426360213
Feature 380,0.002619065283685643
Feature 2003,0.0026115081218046317
Feature 3373,0.002606935759518259
Feature 4553,0.002605181649628756
Feature 2310,0.0025917358158009385
Feature 2827,0.002575509455582042
Feature 3914,0.002571963654546311
Feature 2936,0.0025673080771368233
Feature 3997,0.002555837134033835
Feature 3154,0.0025464599820585678
Feature 4216,0.002538459179529956
Feature 1971,0.002523275493229521
Feature 248,0.0025224959443695422
Feature 4799,0.00252158241345174
Feature 3558,0.0025107529492500993
Feature 2798,0.002505797709895759
Feature 1142,0.002504575694737846
Feature 4332,0.0025020349759686776
Feature 3339,0.002488814207900792
Feature 1641,0.002479518074782806
Feature 4957,0.0024774240156329634
Feature 2544,0.0024648048075793026
Feature 469,0.002456775387655361
Feature 3161,0.002446371807539328
Feature 1248,0.0024393759252125816
Feature 2767,0.002438556890305968
Feature 3167,0.0024263884980966323
Feature 476,0.002421674300083068
Feature 2414,0.0024176262986014513
Feature 1588,0.0024176022595887615
Feature 801,0.0024155169430688703
Feature 4713,0.0024025126454432625
Feature 1285,0.002400337357132681
Feature 1187,0.002397684419844242
Feature 1059,0.002394251040255483
Feature 200,0.0023942254626885045
Feature 3138,0.0023903680858962397
Feature 2637,0.0023866878587391217
Feature 26,0.002385387646921938
Feature 2619,0.0023819928584639678
Feature 4334,0.0023735909925313233
Feature 1704,0.0023678582650477203
Feature 4646,0.002361882241653233
Feature 1993,0.0023552974973493593
Feature 3302,0.0023538955813993635
Feature 3445,0.0023485497399222993
Feature 4300,0.002347669631336118
Feature 3240,0.0023452469439823294
Feature 5102,0.0023447490045844788
Feature 3435,0.00234219780299861
Feature 4111,0.0023345629240109126
Feature 3717,0.0023334413877907603
Feature 1757,0.0023249293724228663
Feature 232,0.0023217036297709217
Feature 4166,0.002315194766967849
Feature 2374,0.002314101740843465
Feature 3643,0.002308023946709926
Feature 3239,0.0023032011514627563
Feature 253,0.0023031718487409184
Feature 5071,0.002302002073082733
Feature 4830,0.0022929749705016727
Feature 3349,0.002280367464660353
Feature 1448,0.0022775676905931086
Feature 695,0.0022731463506944815
Feature 1146,0.0022691869982453343
Feature 576,0.0022686818079381372
Feature 3715,0.002264202982244338
Feature 276,0.0022615028840258606
Feature 2301,0.0022604389732652375
Feature 2463,0.002254326463909717
Feature 3514,0.0022504452562694542
Feature 38,0.0022485762711073323
Feature 458,0.002248486866449216
Feature 3462,0.0022484753424074546
Feature 3389,0.002246442762061129
Feature 1471,0.0022449081847178845
Feature 4416,0.0022376707975437235
Feature 98,0.0022360700391030157
Feature 4886,0.0022354930404276203
Feature 4494,0.002230141865658123
Feature 4474,0.002229509134705386
Feature 4326,0.0022289950526325217
Feature 405,0.0022282944164003357
Feature 2494,0.002224470185128399
Feature 2718,0.00222307494840981
Feature 2375,0.002222429493080648
Feature 240,0.0022222436156909813
Feature 4061,0.0022212569410002417
Feature 4827,0.0022071053244957966
Feature 728,0.0022050968676696715
Feature 2328,0.002196128398664261
Feature 3078,0.0021936339083125462
Feature 2138,0.002190897654735305
Feature 2192,0.0021900269378874507
Feature 1410,0.002189571900085101
Feature 4627,0.002187881865333541
Feature 542,0.002181446360784503
Feature 1983,0.0021813667952952243
Feature 1866,0.0021804939906198764
Feature 5036,0.0021789803081911563
Feature 1826,0.0021769533833795617
Feature 4279,0.0021754994315210966
Feature 885,0.0021669598717022195
Feature 1936,0.002161008898398743
Feature 2770,0.0021589524971493104
Feature 2927,0.0021569703383341157
Feature 2232,0.002154436890116708
Feature 372,0.002154372994394656
Feature 2963,0.002136743349945393
Feature 4715,0.002131990850099905
Feature 1346,0.002129651548201858
Feature 825,0.0021240092746068187
Feature 3807,0.002120483375623278
Feature 462,0.002114897626857
Feature 4323,0.0021102527181926707
Feature 3395,0.002109669996996162
Feature 1023,0.0021096253272865854
Feature 940,0.002108199905486936
