Feature,Importance
Feature 2729,0.2393814506777386
Feature 183,0.2222591871740495
Feature 609,0.19037102192011712
Feature 2843,0.18755355190766507
Feature 3959,0.17811207781152166
Feature 1637,0.17447488643951864
Feature 25,0.17389421540432073
Feature 2860,0.1726226850263409
Feature 1828,0.17254789041371799
Feature 1466,0.17040535768319479
Feature 4501,0.16830383306578978
Feature 5042,0.16745078792357077
Feature 731,0.16584321566062613
Feature 3351,0.16497797362412067
Feature 4240,0.16392405662781467
Feature 3943,0.16376005363422186
Feature 1232,0.16064412842644998
Feature 2155,0.15986245223348888
Feature 2188,0.15932331354711005
Feature 2292,0.15662956558613939
Feature 4174,0.15269011871639288
Feature 4903,0.1516035833593521
Feature 2518,0.15123395206952847
Feature 5039,0.14995858990466066
Feature 630,0.1487958031453148
Feature 2663,0.1486439946950872
Feature 2664,0.14833629016943126
Feature 2,0.14833337551603412
Feature 1696,0.14670151615625351
Feature 1790,0.14665249748331147
Feature 1773,0.14646817856123504
Feature 4065,0.14583727333388535
Feature 4289,0.14567584439429646
Feature 3278,0.14542892567123689
Feature 913,0.14504297031998267
Feature 2731,0.14439927971867675
Feature 4681,0.14302476627667482
Feature 4650,0.14066398892273224
Feature 2387,0.13829503122777972
Feature 4450,0.13779791001514305
Feature 3797,0.13675467848728834
Feature 3296,0.1367421464828342
Feature 4111,0.13518856839377863
Feature 2732,0.13433404266097343
Feature 2740,0.1338394358026745
Feature 4141,0.1337876594940059
Feature 3845,0.13370625246956863
Feature 868,0.13361847627286683
Feature 4490,0.13348110993317336
Feature 1489,0.13257878823983263
Feature 637,0.13239876086028654
Feature 3391,0.1316565281200585
Feature 4152,0.13153640776533201
Feature 2171,0.13134048486799504
Feature 358,0.1309084307167308
Feature 810,0.1308116204301034
Feature 3806,0.13020149905848405
Feature 2798,0.13017226006413404
Feature 1758,0.13010953624974458
Feature 5085,0.1299957326176164
Feature 3216,0.1299408750125923
Feature 614,0.1295530925945866
Feature 5059,0.12948259011560176
Feature 2096,0.1291458479173423
Feature 2429,0.1290464422983802
Feature 3810,0.12903861157101573
Feature 1886,0.12898238576478196
Feature 708,0.12867373490073084
Feature 3541,0.12865622273999416
Feature 3176,0.1285417123964101
Feature 953,0.12827421684754695
Feature 1137,0.12805280365078908
Feature 1438,0.128043354920288
Feature 4627,0.12796906079977993
Feature 1856,0.12734607353453228
Feature 2177,0.1260618213128362
Feature 1323,0.1254727922697018
Feature 4401,0.12526430953245168
Feature 4096,0.12509370930149794
Feature 5114,0.12487285457936118
Feature 4282,0.12482901137821936
Feature 312,0.12463528831975124
Feature 4772,0.12436752536604463
Feature 2516,0.12398494490699305
Feature 3431,0.12372385562016959
Feature 3908,0.12341863704227703
Feature 3847,0.12319834111155295
Feature 3927,0.12242260880592348
Feature 791,0.12234492332832825
Feature 772,0.12232579532088683
Feature 1303,0.12214147428675441
Feature 2913,0.1220657187101748
Feature 31,0.12196819692225469
Feature 4325,0.12174511157951122
Feature 4748,0.12173167048059426
Feature 5036,0.12133036207858827
Feature 1899,0.12028043201992071
Feature 1593,0.12027147074508564
Feature 157,0.12020799484950055
Feature 3542,0.11955405462353505
Feature 1866,0.119365071287482
Feature 2592,0.1193195695485862
Feature 3465,0.1192663444356917
Feature 1918,0.11904519255944716
Feature 4162,0.11902752701560142
Feature 611,0.11902699039617878
Feature 1087,0.11869968429690898
Feature 4876,0.11846868668809392
Feature 2323,0.1184669031569601
Feature 2198,0.11810165151043708
Feature 2723,0.1178057166627812
Feature 3711,0.11746960710125968
Feature 308,0.11696281481822568
Feature 176,0.11692448893651959
Feature 2528,0.11676735570660154
Feature 2100,0.11676062624717612
Feature 3161,0.11626101410245808
Feature 3386,0.11615107294129894
Feature 1999,0.11583646586713583
Feature 562,0.11580168815091432
Feature 3227,0.11573618555091099
Feature 1359,0.11552328651511137
Feature 570,0.11529825794298491
Feature 1285,0.11504355257674563
Feature 592,0.11491950755370547
Feature 595,0.11489080277028489
Feature 4069,0.11478028797801916
Feature 1272,0.11462963586949877
Feature 2962,0.11455918522697492
Feature 393,0.11455009047052318
Feature 3301,0.11446145685614213
Feature 763,0.11412932817520702
Feature 3032,0.11294025114606909
Feature 3619,0.1128896838480562
Feature 1679,0.11240631534777619
Feature 276,0.1122680581244749
Feature 4117,0.11180694183024557
Feature 2431,0.11139909776804664
Feature 465,0.11121519234504554
Feature 819,0.11102222538793341
Feature 290,0.11096667956976063
Feature 4316,0.11038111017988475
Feature 3913,0.11033645738774951
Feature 4680,0.11026484573243375
Feature 2000,0.11016487109267266
Feature 387,0.10958596739725301
Feature 1668,0.10953318116318203
Feature 2959,0.10903095028170981
Feature 328,0.10890409834760931
Feature 3958,0.10886987308915479
Feature 3512,0.1086800452812617
Feature 456,0.1086465406687723
Feature 714,0.1085659610663328
Feature 3412,0.10830746201824235
Feature 962,0.10825272630887357
Feature 3940,0.1080023888554557
Feature 3061,0.10788230784849788
Feature 4449,0.10782807228845329
Feature 4303,0.10781275758323135
Feature 2950,0.10734579559741661
Feature 1350,0.10716801869322248
Feature 4405,0.10693826351335249
Feature 4102,0.10689135323295502
Feature 3250,0.10673163543881144
Feature 816,0.1065800999053027
Feature 5102,0.10646092887239653
Feature 3893,0.10641200530775433
Feature 2094,0.10623867093113368
Feature 3629,0.1060024553950439
Feature 4458,0.1059098486685438
Feature 1169,0.10531363410298548
Feature 2412,0.10526142709097688
Feature 1926,0.10506532073432986
Feature 3155,0.10503620528445785
Feature 1243,0.10501878997237299
Feature 4398,0.10476738005239458
Feature 1706,0.10439312206499567
Feature 4000,0.10420481377960125
Feature 4418,0.10419391891021239
Feature 1305,0.10418475355967298
Feature 3904,0.103958405550296
Feature 2055,0.10392749442108902
Feature 4567,0.10342416920432902
Feature 550,0.1031918911786178
Feature 1781,0.10314995340235296
Feature 3441,0.10307697270233018
Feature 2240,0.10306489974116113
Feature 2935,0.10302022518051532
Feature 253,0.10279863174641757
Feature 3766,0.10252265201993342
Feature 1429,0.10251343041627525
Feature 3738,0.10240149527469164
Feature 1279,0.1019364974327063
Feature 1363,0.10191584872413142
Feature 2344,0.10172292668612015
Feature 2643,0.10155282852100393
Feature 89,0.10140546935615173
Feature 951,0.10132253819478917
Feature 821,0.10128409636081352
Feature 4319,0.10105167151267494
Feature 4657,0.10103038050592048
Feature 4179,0.10074895927620933
Feature 3945,0.10057695126517081
Feature 168,0.10035714764195922
Feature 460,0.09996599868198208
Feature 275,0.09985371494930709
Feature 1024,0.09982375253043495
Feature 717,0.0997806542447689
Feature 2976,0.09968317603782592
Feature 3573,0.09959403305985418
Feature 4128,0.09947894325366843
Feature 683,0.09937422242971863
Feature 4802,0.09896051160296027
Feature 3881,0.09886459048997134
Feature 2728,0.09863262034343306
Feature 2966,0.09862534026250554
Feature 3031,0.09861967122403124
Feature 3406,0.0985558628843584
Feature 3313,0.09843839652980928
Feature 3429,0.09842270800067736
Feature 338,0.0983697130844177
Feature 4717,0.09835141715649603
Feature 1263,0.09812236454390315
Feature 747,0.09808577611779538
Feature 874,0.09804264105690985
Feature 3609,0.0980347912810913
Feature 4361,0.09799629365259213
Feature 1913,0.097937389841109
Feature 291,0.0978570232972705
Feature 3723,0.09766394763162603
Feature 4694,0.09765786996798076
Feature 1761,0.09765645456413583
Feature 2057,0.0974541642642848
Feature 1124,0.0974225001327008
Feature 548,0.09724529196289793
Feature 49,0.09718975063059335
Feature 1907,0.09711348288342225
Feature 4051,0.09682095373610472
Feature 332,0.09677703137322499
Feature 4534,0.09672386989927938
Feature 2703,0.09663581130084473
Feature 3411,0.09660840905298754
Feature 583,0.09652593379071889
Feature 3891,0.09629710360376645
Feature 651,0.0962602472721166
Feature 3755,0.09611050272917057
Feature 4546,0.09557909008335111
Feature 1121,0.09522969099139675
Feature 4234,0.09515276828696631
Feature 3557,0.09514282278933407
Feature 1147,0.0951070126494699
Feature 2097,0.09510186778480385
Feature 2572,0.0950385298584346
Feature 499,0.09487987005632932
Feature 1994,0.09458170682793658
Feature 1447,0.09453858569267588
Feature 454,0.09440807776867917
Feature 342,0.09413471278331163
Feature 1111,0.09412771664786046
Feature 1559,0.09408002355132633
Feature 3613,0.09388684010104273
Feature 4268,0.09382989311699264
Feature 4180,0.09356566180851641
Feature 4329,0.09329983933819465
Feature 4884,0.09322664571417888
Feature 1769,0.09318558581952595
Feature 2373,0.09289203131354762
Feature 398,0.09286450053155143
Feature 354,0.09214379551646386
Feature 2289,0.0920130487880644
Feature 3811,0.09199764162270735
Feature 4828,0.09198415581622918
Feature 4623,0.09190412377107418
Feature 3075,0.09190290418066391
Feature 1802,0.09182110821860238
Feature 1660,0.09141025079738434
Feature 939,0.09135724533443808
Feature 2299,0.09135150802827195
Feature 838,0.09134533292693381
Feature 408,0.0913221265443514
Feature 4751,0.09129891723255497
Feature 4194,0.09115216816525559
Feature 4820,0.091053482344534
Feature 2283,0.09097673328135872
Feature 2695,0.09097066162550148
Feature 2311,0.09091165219089134
Feature 936,0.09084518752837327
Feature 4097,0.09078160489115267
Feature 170,0.09076500372962802
Feature 2513,0.09071282585586751
Feature 4006,0.09052323471014359
Feature 1738,0.0904550575543903
Feature 2771,0.09043641325054903
Feature 230,0.09041299869895712
Feature 2316,0.09038821043392904
Feature 1188,0.09032617166720573
Feature 3645,0.09031081048014586
Feature 678,0.08984683234937706
Feature 4150,0.08975547256181357
Feature 952,0.08971503168777104
Feature 3262,0.08947121770146171
Feature 1920,0.0894519252461418
Feature 1956,0.0893277752810388
Feature 866,0.08924817907705947
Feature 3137,0.08918037166458324
Feature 3241,0.08917627255246571
Feature 2135,0.08917244147259835
Feature 1821,0.08915604887522569
Feature 3118,0.0891198939396353
Feature 4753,0.08910854908793794
