Feature,Importance
Feature 5062,0.08110777816165875
Feature 1423,0.07653742719035897
Feature 1835,0.06673484858248138
Feature 1901,0.06364448903687277
Feature 4999,0.06149109887735467
Feature 5003,0.05979813370676772
Feature 3241,0.058576012129800924
Feature 3897,0.05783554765773378
Feature 936,0.0555362262815875
Feature 5000,0.05476982683052213
Feature 154,0.05399870010882203
Feature 2147,0.053159112938670296
Feature 2891,0.05245605936563776
Feature 3969,0.052066976343268415
Feature 4137,0.05201293578605293
Feature 1498,0.05190447822252987
Feature 2651,0.05177302826148038
Feature 5110,0.05167717965239199
Feature 1066,0.051636587243675
Feature 3273,0.051528007561263675
Feature 4496,0.05152008802372685
Feature 4774,0.05100441895455561
Feature 1284,0.05006506944072429
Feature 4073,0.04999582583512242
Feature 1866,0.0499731715466609
Feature 3254,0.04995089879291608
Feature 1147,0.04992337628680151
Feature 1421,0.049899921716655124
Feature 1629,0.049809503673109115
Feature 3096,0.04936663877259765
Feature 979,0.049180771345432375
Feature 3282,0.04890254644105949
Feature 4691,0.048627092118022255
Feature 3728,0.048537981012235734
Feature 1561,0.04804532504789915
Feature 2247,0.04751888726823595
Feature 3314,0.0474693320150273
Feature 4367,0.04684733365650148
Feature 3822,0.04664698899656386
Feature 3956,0.04662124536171288
Feature 4402,0.046284845953580935
Feature 123,0.0461177102781153
Feature 1058,0.04611199639128508
Feature 4401,0.04592111372530726
Feature 905,0.04577217745417994
Feature 1748,0.04563195950840894
Feature 4988,0.045610663420746
Feature 4422,0.045496490786941755
Feature 3643,0.04542434726340523
Feature 1432,0.04537536469320829
Feature 2974,0.04504990585942302
Feature 2616,0.04504005281725666
Feature 633,0.045022214559848464
Feature 993,0.04500160194197271
Feature 3420,0.044849950553035464
Feature 1559,0.044837755256810684
Feature 793,0.04440296217523119
Feature 1628,0.044276682367567176
Feature 3016,0.044089096066628565
Feature 1925,0.04399997018172569
Feature 5019,0.04387568124483769
Feature 1213,0.043840363108457646
Feature 42,0.043704807042087936
Feature 2277,0.04368713671158591
Feature 1916,0.04355695829600865
Feature 5006,0.04336356690577868
Feature 4912,0.04325169316338059
Feature 4284,0.04322992888173288
Feature 4887,0.04297209185810758
Feature 195,0.04293399838376799
Feature 4603,0.04283198922812703
Feature 3713,0.04270446580753926
Feature 849,0.04253126010442067
Feature 1605,0.042453199838635505
Feature 847,0.04219736417860646
Feature 3743,0.04213941249042591
Feature 2504,0.04210862935905934
Feature 2215,0.042064338494430656
Feature 2269,0.042001414855859544
Feature 2535,0.04194619939889149
Feature 2437,0.041920876459708115
Feature 1190,0.04183651613403051
Feature 538,0.041593995464351066
Feature 3900,0.04152192600804804
Feature 3316,0.04151757961298701
Feature 4162,0.04150657267873746
Feature 2825,0.04130982257497681
Feature 1792,0.04107433462310802
Feature 2920,0.04106995657497982
Feature 295,0.04101869754721108
Feature 511,0.040973479372939575
Feature 4539,0.04086700276548811
Feature 882,0.040477173249557116
Feature 355,0.040441527433537294
Feature 182,0.040379868094890296
Feature 1540,0.04036353049978462
Feature 4798,0.04034811918212312
Feature 2595,0.04027450777272727
Feature 1459,0.04020435557221068
Feature 502,0.04017367128274816
Feature 220,0.04003962895925713
Feature 359,0.04000493455556041
Feature 4232,0.039998145655275645
Feature 4355,0.03994290371846937
Feature 880,0.039793227755985996
Feature 5057,0.03973096686283527
Feature 3780,0.039726026645810285
