Feature,Importance
Feature 2507,0.02027077619875241
Feature 2674,0.019984237261025727
Feature 4651,0.01906193688430989
Feature 3946,0.018660849750190743
Feature 1429,0.018254387918252638
Feature 3579,0.017934940787870245
Feature 4496,0.017815141883176736
Feature 519,0.01778058597454322
Feature 2364,0.01758257949887241
Feature 2386,0.017467018718637012
Feature 783,0.01695990701070143
Feature 898,0.016948806088199063
Feature 2942,0.016933042967790114
Feature 1004,0.016868328108265447
Feature 2990,0.016731309589040035
Feature 4924,0.016528756855874596
Feature 4632,0.01649167506379485
Feature 845,0.01644233839158372
Feature 471,0.016189731993678506
Feature 903,0.016019259232562488
Feature 2939,0.015919633136987254
Feature 1143,0.015528028255619376
Feature 4185,0.015438939320674005
Feature 2018,0.015402199108238031
Feature 2119,0.015359397448881752
Feature 387,0.015332679897064905
Feature 3821,0.015270250269136684
Feature 2782,0.015092487526772908
Feature 2681,0.014848463292501427
Feature 4586,0.014793100439264562
Feature 992,0.014750768468856468
Feature 1169,0.014735928941052596
Feature 3,0.014710607332061193
Feature 226,0.014680705020228491
Feature 433,0.014670545189665065
Feature 5114,0.014645327579499559
Feature 361,0.01463587530414091
Feature 462,0.014611944336216449
Feature 2517,0.01455117386532826
Feature 2099,0.014537259422200452
Feature 4850,0.014533997697188671
Feature 24,0.014526507803279043
Feature 247,0.014499391009801724
Feature 927,0.014490582007636765
Feature 4240,0.014409103340887677
Feature 4073,0.014403607122419327
Feature 2633,0.014355602306979293
Feature 3748,0.014294365491862549
Feature 2069,0.01428999496089555
Feature 3864,0.014224280819368584
Feature 3373,0.014209821272580251
Feature 732,0.01420474400072264
Feature 1159,0.014199420949089037
Feature 2609,0.014176110137098841
Feature 3410,0.014168539840722366
Feature 4134,0.014124496851949294
Feature 3791,0.014116401315819236
Feature 3197,0.014083167920548183
Feature 5052,0.014056895898256492
Feature 542,0.01404301425471314
Feature 1745,0.014007691389852823
Feature 617,0.013986100693980315
Feature 4820,0.01395069093134613
Feature 3001,0.013784098730858457
Feature 1770,0.013729150384189776
Feature 1735,0.01371311124884315
Feature 3134,0.013708551008894948
Feature 4085,0.013641474460131064
Feature 1758,0.013638059363700938
Feature 434,0.013633607175882013
Feature 4612,0.013612267046649414
Feature 3339,0.01356779357061468
Feature 401,0.013500354309500634
Feature 2566,0.013347819250814168
Feature 336,0.013318564977466913
Feature 4277,0.013290890181962469
Feature 2530,0.013241453562511756
Feature 2991,0.013226516377447872
Feature 3264,0.013178241270836753
Feature 4033,0.01316853047851059
Feature 1628,0.013160605505137493
Feature 315,0.01312448795209122
Feature 4578,0.013079128088136207
Feature 237,0.013001620686946385
Feature 4232,0.01296424087820022
Feature 572,0.012948868940581426
Feature 4888,0.012939044010070705
Feature 3803,0.012938274578743336
Feature 1583,0.012901208115290358
Feature 4144,0.012875913745351875
Feature 769,0.012812336423049566
Feature 54,0.012803344082861653
Feature 849,0.01279590038932989
Feature 3313,0.012783139984420164
Feature 2450,0.012726025759391682
Feature 4905,0.01266472834020876
Feature 5074,0.01264664626664638
Feature 316,0.01263441150553496
Feature 1354,0.012570152019437142
Feature 1471,0.012512648267902438
Feature 552,0.01250248469108034
Feature 1147,0.012472591101534439
Feature 3983,0.012372934852673673
Feature 2237,0.012352831055056315
Feature 4832,0.012310431334721606
Feature 535,0.012304469759691145
Feature 2999,0.012296002612666243
Feature 4715,0.012247428707811597
Feature 4039,0.012246810702243312
Feature 1355,0.012245127835189431
Feature 109,0.012220772088700215
Feature 2997,0.01218753951420112
Feature 4019,0.01216391002416366
Feature 1567,0.012159525696897693
Feature 1902,0.012116894632811934
Feature 3401,0.012105193372549044
Feature 4660,0.012062191999656455
Feature 2368,0.011962331310130447
Feature 1759,0.01194794561626732
Feature 5032,0.011946214370260484
Feature 4951,0.011848165411044087
Feature 1854,0.01179537358992341
Feature 4960,0.011787271795860543
Feature 2685,0.011742845218208084
Feature 2479,0.011730020050029719
Feature 571,0.011728448743930241
Feature 1947,0.011714009603344207
Feature 218,0.01166072524673785
Feature 490,0.011612201415057522
Feature 4898,0.011523098917424649
Feature 1176,0.011516117045025236
Feature 3352,0.011489671225595752
Feature 2323,0.011488612561335359
Feature 4380,0.011476950302533621
Feature 1751,0.01146962085906809
Feature 4524,0.011462582709049407
Feature 3151,0.011453387408139221
Feature 2390,0.011407016094170486
Feature 3863,0.01139504428551003
Feature 1403,0.011384802122327611
Feature 3037,0.011382308820060203
Feature 1442,0.011370854955998714
Feature 543,0.011284191090817729
Feature 2535,0.011272196992213605
Feature 1082,0.011272154430267998
Feature 1844,0.011206815881921423
Feature 1250,0.011193439529031467
Feature 1631,0.011135760669083748
Feature 764,0.011125147925058138
Feature 4822,0.011112993934976098
Feature 2471,0.0111064621717016
Feature 3280,0.011095291597413513
Feature 4589,0.01109240881745582
Feature 1021,0.011083037346821815
Feature 4174,0.011077359476510151
Feature 5043,0.011074842050156092
Feature 1287,0.011070771755571841
Feature 3927,0.011049303638824101
Feature 1230,0.011025053500518817
Feature 129,0.011018963273847986
Feature 1919,0.011012333056540528
Feature 4214,0.010988317106380832
Feature 1777,0.010977731074824094
Feature 384,0.010964407878321591
Feature 133,0.010957149553105007
Feature 2949,0.01093988822021728
Feature 216,0.01091922351412676
Feature 3081,0.010884421870680491
Feature 2907,0.010869729165387376
Feature 4887,0.01083053379729847
Feature 1763,0.01081765840728775
Feature 1158,0.010810154808757855
Feature 3108,0.010804792144210151
Feature 2180,0.010804216887095128
Feature 4470,0.010802066221432514
Feature 460,0.010789540844788255
Feature 978,0.010744052405262761
Feature 2494,0.010738204889993604
Feature 1873,0.010720983040922262
Feature 3825,0.010701016137778475
Feature 3094,0.010676538008034161
Feature 4172,0.01067063885533255
Feature 4681,0.010657449566113586
Feature 816,0.010626467924683148
Feature 1668,0.010597136714416897
Feature 2832,0.010593146142767594
Feature 4683,0.01056720161539511
Feature 2784,0.010559354779165451
Feature 7,0.010545218301074594
Feature 2892,0.01053473737912149
Feature 1871,0.010505194825351914
Feature 1079,0.010501154041265384
Feature 4335,0.010500660384626166
Feature 3226,0.010495045351930554
Feature 1827,0.010489509265757858
Feature 1912,0.010472882891306991
Feature 2177,0.010442500302422667
Feature 573,0.010428730554614154
Feature 2131,0.01040849122210023
Feature 4179,0.010393060075859922
Feature 4624,0.010380446669728106
Feature 4517,0.010380218495087716
Feature 2559,0.010359601316499021
Feature 4796,0.01035315785419267
Feature 4700,0.0103480554221964
Feature 3380,0.010313698886135461
Feature 2317,0.01030404771739845
Feature 2280,0.010268363400204598
Feature 2545,0.010266751394928783
Feature 4825,0.010261455368105386
Feature 1185,0.010221766948885642
Feature 4158,0.010218542621477124
Feature 5105,0.010209745660761469
Feature 3429,0.01017572099064484
Feature 2706,0.010161744183209857
Feature 3619,0.010159975856840617
Feature 1548,0.010106770619848344
Feature 196,0.010091886010371169
Feature 756,0.010070912666902795
Feature 70,0.01004892308662408
Feature 991,0.010042118463037347
Feature 4573,0.01003279710526352
Feature 1436,0.010023519145078858
Feature 1078,0.010018139786253792
Feature 1553,0.01001391735806444
Feature 4828,0.010005055538202625
Feature 3138,0.010004593982266892
Feature 3213,0.009986962978063712
Feature 475,0.009965744158235318
Feature 4878,0.009957399391840838
Feature 1218,0.009913760006596143
Feature 2382,0.009906847504144977
Feature 896,0.009891995345585472
Feature 1235,0.009888827700809757
Feature 1566,0.0098623820822888
Feature 2668,0.009846717464180971
Feature 2809,0.009788809514411452
Feature 2982,0.00972161763435311
Feature 961,0.00971789408562416
Feature 5021,0.00967503629277629
Feature 4742,0.009664773769386454
Feature 1952,0.009649211860113178
Feature 4177,0.009642336635877082
Feature 4186,0.00962810853520084
Feature 678,0.009622229839838582
Feature 1734,0.009617574764322743
Feature 1290,0.009579228601251455
Feature 4424,0.009574320208555379
Feature 3144,0.009569871242138145
Feature 402,0.009566342031085162
Feature 3411,0.009541123624208761
Feature 4096,0.009520967725893729
Feature 288,0.009509956966728083
Feature 2123,0.00949644311471345
Feature 3312,0.009480399255155638
Feature 1990,0.009474657406083886
Feature 3996,0.009464930735628863
Feature 3738,0.009457835704989929
Feature 568,0.009454694869779841
Feature 558,0.009451103327047308
Feature 141,0.009434464076485719
Feature 4406,0.00943317352174886
Feature 3675,0.009427810064451727
Feature 743,0.009422177166534141
Feature 4061,0.009412078022893068
Feature 454,0.009411218636043592
Feature 4525,0.009406333071450154
Feature 615,0.009393314165657519
Feature 980,0.009392754160080351
Feature 550,0.009377691535812416
Feature 1682,0.009368045620209518
Feature 79,0.00935171425616071
Feature 3166,0.009346106792617912
Feature 2384,0.009337617094854075
Feature 4478,0.009319255271750643
Feature 2394,0.009290743247767817
Feature 2764,0.009285378455206243
Feature 2860,0.009263872108947808
Feature 4135,0.00925211276362307
Feature 3139,0.009247001151500997
Feature 3385,0.009237479582217883
Feature 1847,0.009216999967028912
Feature 1464,0.009199953051862057
Feature 3810,0.009195909863328392
Feature 62,0.009179971379392223
Feature 4259,0.00916647079340919
Feature 795,0.009147292198873138
Feature 4361,0.009137364591446337
Feature 2666,0.009122400193323468
Feature 3220,0.009119903218875881
Feature 4705,0.009119271900415844
Feature 151,0.009118610920050004
Feature 4194,0.009107901882604368
Feature 4151,0.009105946436096583
Feature 2665,0.00909243695730697
Feature 852,0.009081452429785662
Feature 1387,0.009062317589605216
Feature 1932,0.009054777878577999
Feature 621,0.009054550709480084
Feature 4890,0.009042433860055646
Feature 2002,0.009036140301879
Feature 4075,0.00901915645988766
Feature 1593,0.009005552608194104
Feature 2084,0.00900330068033277
Feature 130,0.00898790022454332
Feature 4423,0.008985125095622775
Feature 4947,0.008980097818480073
Feature 2301,0.008961982249219128
Feature 2435,0.0089379762715587
Feature 200,0.008913789993438894
Feature 5109,0.008910736676339407
Feature 1041,0.008907219614871408
Feature 2297,0.008884893783315067
Feature 858,0.008879711004779982
Feature 2926,0.00887836492640574
Feature 1760,0.00887335678992256
Feature 2758,0.008868743126782305
Feature 1073,0.00886296005607357
Feature 1083,0.00883602232470496
Feature 5045,0.008810566497296318
Feature 1772,0.008806341126535083
Feature 3973,0.008798038146883763
Feature 1240,0.008795155352234256
Feature 1576,0.00879509093086906
Feature 2192,0.008787164480788557
Feature 4410,0.00878653595466863
Feature 4044,0.008770934848718626
Feature 1137,0.008766130652797499
Feature 2722,0.008764041289577142
Feature 950,0.008763854769138135
Feature 2318,0.008755537106006881
Feature 472,0.008749256163634409
Feature 2487,0.008740596017770963
Feature 2629,0.00873408184137776
Feature 4395,0.008705151786676257
Feature 1820,0.008704586152445487
Feature 901,0.008697599340243096
Feature 4748,0.008692357551962137
Feature 3775,0.0086917115356295
Feature 4874,0.008689508001660491
Feature 4598,0.008663432279145516
Feature 2740,0.00865765778445723
Feature 3443,0.0086446004949058
Feature 5077,0.008637679226110547
Feature 450,0.008634621378799688
Feature 3379,0.008626126468860464
Feature 682,0.00861911474093301
Feature 4518,0.008618629856003904
Feature 73,0.008606717870586254
Feature 4108,0.008602218150877977
Feature 1423,0.008597526781150382
Feature 4790,0.008593259617361895
Feature 4780,0.008592780883808724
Feature 5017,0.008562625392217676
Feature 765,0.008543870787863344
Feature 2742,0.008539635355176019
Feature 2628,0.008536644945536404
Feature 2534,0.0085313073191647
Feature 2191,0.008521003091007505
Feature 2244,0.008520086721643099
Feature 914,0.008496872576573212
Feature 4047,0.008480772884394378
Feature 3359,0.00847487781112533
Feature 2719,0.008457802496713712
Feature 973,0.008440532275721975
Feature 4770,0.008436090191481163
Feature 3129,0.008435283995938276
Feature 1693,0.008435128200918563
Feature 3256,0.008433137956506362
Feature 4785,0.008429840960256521
Feature 5088,0.008427122350745655
Feature 1709,0.008423054415173305
Feature 3653,0.008421526890483196
Feature 1584,0.008399865568051246
Feature 4216,0.008370311860942194
Feature 3636,0.0083551654896668
Feature 61,0.008354401387560193
Feature 3939,0.008333850594574022
Feature 4170,0.008330825286607096
Feature 4383,0.00829960844810346
Feature 958,0.008277673779870421
Feature 234,0.008270826860712855
Feature 2263,0.008228984638282259
Feature 4585,0.008212014204607768
Feature 64,0.00820989546050242
Feature 1846,0.008206493056326402
Feature 4546,0.008199408331211121
Feature 3611,0.008161891665423669
Feature 3707,0.008161528084206712
Feature 1536,0.008159874992341344
Feature 2513,0.008155219496353098
Feature 3725,0.008145953615077724
Feature 2077,0.008134086040107475
Feature 4046,0.008127014197196551
Feature 2824,0.008126420083434612
Feature 3582,0.008081010141984516
Feature 1867,0.008077173887241348
Feature 192,0.008066141460608378
Feature 2308,0.008057353171050021
Feature 3028,0.008048316814140123
Feature 2406,0.008047891198106876
Feature 4378,0.008041732281490827
Feature 1659,0.008033926032704142
Feature 2899,0.008029540370037268
Feature 205,0.008015727134721217
Feature 4235,0.007999851254504774
Feature 4766,0.007995758579197702
Feature 649,0.00799217868267467
Feature 3391,0.007981973115151794
Feature 587,0.007978674033830183
Feature 3865,0.007976828020650913
Feature 3716,0.007973979231449838
Feature 1765,0.007942731816364146
Feature 1484,0.007938139381279824
Feature 1936,0.007933487224600157
Feature 2787,0.007918581738070814
Feature 1444,0.007913399840809531
Feature 2060,0.007904696946412833
Feature 4784,0.007890755124285383
Feature 1107,0.007881583353094612
Feature 4792,0.007861042157687152
Feature 32,0.007854822953192859
Feature 4596,0.007844958723498625
Feature 1103,0.007841003801147895
Feature 4774,0.00783845422530003
Feature 4818,0.00783160982963463
Feature 3856,0.007827158999180529
Feature 999,0.007822904885831258
Feature 3943,0.007822761552203905
Feature 2158,0.007811781176985337
Feature 13,0.007806208859079419
Feature 1679,0.0077989207816736295
Feature 2563,0.007770642424985851
Feature 2183,0.0077683383586997
Feature 3004,0.007761595756646642
Feature 4257,0.007744764257172475
Feature 4712,0.007729390444025236
Feature 2343,0.007727819216016174
Feature 3760,0.007722330415853218
Feature 2916,0.007717218047681655
Feature 1416,0.007712470366841054
Feature 1531,0.007711590740715641
Feature 4501,0.007711393193103824
Feature 2882,0.007707650535982066
Feature 2898,0.007705020455602342
Feature 1306,0.007683672747590046
Feature 3945,0.007664978138349964
Feature 125,0.007661300876318311
Feature 511,0.00765725048854613
Feature 4758,0.007637609382997843
Feature 3214,0.007637346482099618
Feature 4100,0.0075835706709658736
Feature 2307,0.007577470049764196
Feature 2843,0.0075716251433299575
Feature 5037,0.007567528781580166
Feature 3444,0.0075555765051485285
Feature 2042,0.007554541925259943
Feature 1162,0.007548304651864282
Feature 777,0.007538313424488867
Feature 23,0.007535726048547525
Feature 1995,0.0075304051134239035
Feature 1790,0.007529269803175351
Feature 2762,0.0075217260214030055
Feature 2204,0.007517485146047028
Feature 2730,0.007514964588556242
Feature 4009,0.007497120431089316
Feature 42,0.007495725650783461
Feature 4318,0.007488548716761079
Feature 273,0.007474940889424649
Feature 1515,0.007461357513614468
Feature 2658,0.007455173088073583
Feature 2870,0.007446764622034027
Feature 2814,0.0074445715454436205
Feature 634,0.007432657403360422
Feature 363,0.007412926985632886
Feature 1903,0.007411776809367425
Feature 1042,0.00740009458979166
Feature 750,0.007397417058090204
Feature 4529,0.0073916179086114045
Feature 590,0.0073858711509726255
Feature 5094,0.007374763819535486
Feature 410,0.007374379029196343
Feature 4308,0.007371421566937928
Feature 2531,0.0073685282201104586
Feature 4313,0.007365981645837858
Feature 2016,0.00736302906474697
Feature 1969,0.007360113827889705
Feature 2216,0.007357880976805675
Feature 4661,0.007351224709299289
Feature 3250,0.007346735055935094
Feature 2023,0.007344043587970969
Feature 4328,0.00734123389948463
Feature 95,0.00733610998934907
Feature 2218,0.00733004584258661
Feature 1692,0.007322923968320867
Feature 2851,0.0073161525430586825
Feature 2773,0.007315613318256173
Feature 2944,0.007300883424673628
Feature 2702,0.007300320484019575
Feature 2366,0.007296347949319973
Feature 751,0.007295131051047505
Feature 4069,0.007294823938528564
Feature 773,0.007294725288978375
Feature 89,0.007289019486342138
Feature 4018,0.007280915610204619
Feature 2451,0.007273678328756647
Feature 16,0.007249376584570441
Feature 3351,0.007245476577114912
Feature 3676,0.007235898681864058
Feature 1320,0.00723165995020794
Feature 602,0.007223877979932495
Feature 3678,0.007208966097066967
Feature 1889,0.007200967845844661
Feature 506,0.007195327131453118
Feature 3774,0.007193613301174785
Feature 1358,0.007189452676583477
Feature 3269,0.007179590938412932
Feature 1657,0.007174795326031008
Feature 5068,0.007170339668967074
Feature 2980,0.007157818161091141
Feature 753,0.007156935256900468
Feature 1105,0.007154426491122643
Feature 152,0.007153908144997124
Feature 4691,0.007150298584642603
Feature 3919,0.007146163816295373
Feature 964,0.007145205746250935
Feature 2286,0.007140717190712237
Feature 3343,0.007140247136164303
Feature 1534,0.00713753130860495
Feature 353,0.007127452142041958
Feature 1226,0.00712392713105642
