Feature,Importance
Feature 1339,346267.85130607855
Feature 442,298059.25423908763
Feature 1704,259661.1876108801
Feature 4568,249150.58508119622
Feature 3889,245694.07628656045
Feature 2798,245252.7130024082
Feature 3591,244838.3119227738
Feature 1751,239978.55814315254
Feature 2990,237670.48729582207
Feature 701,234301.20803920965
Feature 191,233149.8002536783
Feature 1852,233026.8876340706
Feature 3972,232727.39898394607
Feature 1615,227104.90477613412
Feature 239,226098.5503553046
Feature 2471,225327.79913297895
Feature 1211,219212.45980691136
Feature 4380,218609.58179751906
Feature 4594,217541.90038684756
Feature 2782,216113.22232959233
Feature 3411,213826.35353233578
Feature 3908,213650.33270939876
Feature 889,211981.47933456377
Feature 3778,211184.51843504002
Feature 387,211175.46305913306
Feature 2040,210114.2044288624
Feature 488,207881.6250682425
Feature 4323,206990.07996254848
Feature 647,206390.94994326786
Feature 2623,205638.3763790967
Feature 23,204678.78587066062
Feature 4223,204607.76648898365
Feature 1670,202482.07905854846
Feature 1957,201912.74349487407
Feature 4171,200079.34119813092
Feature 620,199955.70266077013
Feature 3672,199935.83923148457
Feature 2923,198632.45806386383
Feature 125,198534.35272134506
Feature 3492,198450.0094402688
Feature 1820,198074.724392163
Feature 3154,195338.40851615972
Feature 1124,194916.97486847095
Feature 4164,192466.53297714886
Feature 3111,192191.2171200379
Feature 2147,190186.91486892948
Feature 492,189770.4921619634
Feature 3456,189540.29451018746
Feature 2511,189384.22092001792
Feature 476,188523.43427681702
Feature 3589,188202.5356319686
Feature 2767,188191.80677809016
Feature 5102,188121.25388149364
Feature 1306,187807.24950954405
Feature 3176,186326.760063491
Feature 3293,186122.6430763977
Feature 543,184607.36103383405
Feature 2880,184529.92764620855
Feature 1285,184078.16032775366
Feature 5039,182652.49361246038
Feature 1786,180712.79905839288
Feature 319,180404.43213225526
Feature 3736,179485.47407904465
Feature 723,179335.38717782428
Feature 852,179195.46275718143
Feature 462,177511.4776923908
Feature 4587,176559.73702432998
Feature 4635,176426.38235140816
Feature 2687,174599.99488498076
Feature 1162,173576.0332999375
Feature 1277,173253.0469804079
Feature 5074,173157.54784437985
Feature 4769,172574.11797408637
Feature 2119,172482.0082816603
Feature 1729,172461.36714381498
Feature 1127,172025.89804823938
Feature 1299,171919.0346358439
Feature 2945,171718.74069362812
Feature 4695,170706.2003693396
Feature 2262,169898.2360760008
Feature 738,169251.18132266338
Feature 4093,169128.38044496026
Feature 3336,168976.80698309414
Feature 433,168313.9704584623
Feature 1217,168259.157653361
Feature 52,168178.02272984487
Feature 2593,168086.6385394667
Feature 2418,166827.9963203625
Feature 2035,166083.3437865541
Feature 901,165913.7641304915
Feature 856,165474.84127303067
Feature 2509,164673.20993744698
Feature 2972,164082.6968335576
Feature 20,163272.6911127529
Feature 637,163148.93668591257
Feature 199,162719.5049274152
Feature 2129,162597.2975984476
Feature 3666,162353.7569943037
Feature 800,161270.5192528847
Feature 1022,161185.97008329147
Feature 1496,161002.61676377984
Feature 4022,160787.69951189886
Feature 3237,160742.3838959783
Feature 3987,160379.4351467577
Feature 570,160295.4133351146
Feature 2188,159993.20620319294
Feature 4938,159939.1080856647
Feature 4193,159582.79077786935
Feature 2697,158903.26679373722
Feature 1166,158861.357138133
Feature 2616,158754.7028345296
Feature 2631,158524.53669776305
Feature 4952,158473.53163372955
Feature 4117,158114.0111712931
Feature 1910,157964.3382565859
Feature 2388,157835.73883553778
Feature 1452,157820.75311401347
Feature 4980,157779.28248179087
Feature 1658,157268.9746581319
Feature 4355,156926.959956094
Feature 5013,156140.42375969893
Feature 1576,156083.3476097015
Feature 3406,155906.1451513931
Feature 3919,155883.9736562436
Feature 3183,155262.0380577636
Feature 1818,155041.55600494816
Feature 1013,154943.39145496185
Feature 1253,154741.9380015945
Feature 1053,154598.0083700964
Feature 412,154332.65191068337
Feature 5026,154126.9500744522
Feature 3725,153946.08490184287
Feature 1530,153697.11894258342
Feature 789,153670.14002233522
Feature 2178,152985.8377135778
Feature 4028,152969.26829678606
Feature 1391,152935.56114957677
Feature 2172,152810.3515122273
Feature 2637,152730.10515971977
Feature 2023,152704.17241906584
Feature 3432,152504.3000692552
Feature 2771,152121.8444271014
Feature 2935,152094.55669943857
Feature 542,152009.40519092925
Feature 408,151952.07910058374
Feature 4610,151625.20636955145
Feature 4514,151589.25964162505
Feature 2684,151239.7386249372
Feature 1438,151175.16855849134
Feature 4097,151009.7642512221
Feature 1143,150747.81304944964
Feature 4692,150631.55589523894
Feature 2149,150377.20713859732
Feature 1851,150272.90970001282
Feature 3464,150095.2878272817
Feature 4706,150094.08731347043
Feature 2630,150024.10230204466
Feature 145,150014.5332328396
Feature 169,149721.0398975183
Feature 5061,149288.2607784005
Feature 2453,149011.71438941127
Feature 4989,148907.87378106173
Feature 1472,148727.46774025203
Feature 4623,147879.21683423553
Feature 3326,147404.34048317387
Feature 4454,147113.17189077177
Feature 4238,147040.73913710043
Feature 2547,146871.80266386791
Feature 794,146268.30761752222
Feature 4744,145928.29497954636
Feature 1147,145878.83326933155
Feature 2518,145439.21937705792
Feature 138,145347.40241565483
Feature 553,145337.27305963705
Feature 4394,145163.81204719192
Feature 3018,144938.56924415595
Feature 3282,144686.6195110528
Feature 4052,144647.17905851308
Feature 4817,144362.2359695221
Feature 1188,144278.71107990382
Feature 600,144038.58572174812
Feature 2959,143820.94824449767
Feature 558,143340.9786190787
Feature 3228,143172.31364484265
Feature 913,143108.13517297
Feature 1270,143037.05398417867
Feature 148,142134.31670691518
Feature 2865,141718.88482972982
Feature 1604,141706.1284098719
Feature 566,141501.54607563652
Feature 1986,141138.79965802276
Feature 3817,140956.7608130131
Feature 2690,140947.1496482227
Feature 322,140690.11803603868
Feature 3541,140414.1171594914
Feature 459,140096.57862004847
Feature 2437,140012.98652797323
Feature 4496,139932.47331880286
Feature 1541,139529.31225679052
Feature 4182,139522.4692066944
Feature 213,139030.2698359754
Feature 1464,138934.60046195186
Feature 2620,138851.18417412386
Feature 569,138740.44398896018
Feature 473,138541.5335807559
Feature 461,138396.03424470514
Feature 3127,138333.5625100616
Feature 2729,138094.89525819197
Feature 2546,137905.01764282334
Feature 1131,137831.0770459992
Feature 3832,137822.04710551206
Feature 2137,137570.5833523575
Feature 4880,137198.5531415599
Feature 1781,137082.5287904571
Feature 2289,137041.99885733318
Feature 1866,136787.3746151164
Feature 1099,136721.39753092424
Feature 407,136692.50988741792
Feature 413,136021.96648428187
Feature 1087,135592.0617359543
Feature 2450,135549.3905539034
Feature 311,135149.0935218302
Feature 1791,135047.98942748728
Feature 1384,135001.62209167727
Feature 4249,134938.18940872344
Feature 1380,134866.4513291948
Feature 1701,134730.17968783085
Feature 3779,134666.4674552742
Feature 1440,134615.26515499718
Feature 973,134448.40737196425
Feature 1401,134353.6037954174
Feature 2907,133979.60113543397
Feature 5059,133916.33916530234
Feature 2591,133852.31543755758
Feature 1321,133466.24822385662
Feature 4917,133239.3923339728
Feature 4681,133138.83086319317
Feature 2598,132813.99490098984
Feature 2973,132621.18341157652
Feature 3401,132494.09867313216
Feature 3613,132372.0394808769
Feature 3078,132305.85316387462
Feature 2482,132109.53106396247
Feature 1596,131918.8007772558
Feature 1482,131883.84927339441
Feature 3878,131560.35714784966
Feature 2500,131282.3569981388
Feature 4884,131254.37236885834
Feature 4883,130923.03600217108
Feature 2709,130909.30446646833
Feature 728,130843.44064698555
Feature 54,130804.27157929019
Feature 3486,130625.35110922545
Feature 2405,130537.448424958
Feature 2072,130185.46142555456
Feature 770,129836.7100866064
Feature 4990,129437.44631179154
Feature 3537,129111.83005464582
Feature 4972,129016.86355226864
Feature 1192,128998.92798624614
Feature 5028,128929.19488730414
Feature 3360,128787.6459344964
Feature 3855,128277.5801019109
Feature 200,128274.00596100402
Feature 5042,128197.44049698657
Feature 4736,127998.8584812874
Feature 4397,127943.35022470992
Feature 2773,127923.35687908072
Feature 1693,127710.03555807154
Feature 3927,127616.70436326561
Feature 695,127519.34785103271
Feature 931,127467.1891051489
Feature 1404,127279.20850772741
Feature 573,127222.3538833244
Feature 2067,127057.55254418084
Feature 1559,126938.3562769484
Feature 1649,126795.875748386
Feature 3906,126665.9008293676
Feature 1169,126629.87988050531
Feature 3451,126629.2515463334
Feature 4241,126576.35205114377
Feature 1687,126573.05578318499
Feature 2609,126370.63861564753
Feature 4430,126259.99008138517
Feature 693,125980.73221705698
Feature 3821,125742.1734272859
Feature 4657,125674.64931919293
Feature 1374,125648.44056928589
Feature 3104,125621.24432640799
Feature 4574,125490.05445069427
Feature 4244,125329.29428674854
Feature 4175,125313.44198208065
Feature 1301,125274.39940796971
Feature 4738,124966.14204686286
Feature 3681,124268.22488840164
Feature 1442,124083.29486212174
Feature 303,123665.2344897419
Feature 4560,123645.36799396206
Feature 310,123584.02657849048
Feature 704,123555.48437056206
Feature 2406,123554.12870720378
Feature 689,123550.95293826559
Feature 851,123470.79790560264
Feature 5063,123396.49610938031
Feature 2527,123252.0228699093
Feature 4049,123173.08498539499
Feature 1243,123067.02821580859
Feature 2091,123046.03884259248
Feature 1397,122998.32090607614
Feature 130,122817.2088712167
Feature 746,122697.82656476457
Feature 716,122576.22443008042
Feature 1319,122562.13236153894
Feature 454,122211.09192059064
Feature 624,122180.7292206777
Feature 4654,122146.44554244122
Feature 4846,121943.17812848557
Feature 3015,121676.83291634421
Feature 882,121498.94856530258
Feature 426,121152.42547793798
Feature 3245,121104.07187074295
Feature 2774,120939.54968825188
Feature 3340,120908.27284830608
Feature 3110,119976.4945214218
Feature 2516,119964.38183820857
Feature 4900,119912.36414644448
Feature 1330,119891.14449034727
Feature 2866,119593.0721281621
Feature 1445,119442.32574735065
Feature 1918,119435.80263537604
Feature 1700,119400.55765665737
Feature 4194,119202.21065000922
Feature 4458,119172.68107902809
Feature 849,119090.75336921532
Feature 925,118626.34709350129
Feature 683,118422.04839533199
Feature 3645,118355.91259932653
Feature 4174,118318.93637200196
Feature 669,118057.8670005883
Feature 4149,117973.628061593
Feature 682,117939.98653695783
Feature 2559,117929.37840725773
Feature 1178,117852.49636121812
Feature 4007,117734.08818821357
Feature 2100,117484.39800958321
Feature 498,117417.29347619516
Feature 3457,117325.74797308104
Feature 1825,117299.15467957019
Feature 4050,117012.68258502471
Feature 2995,116930.9761371999
Feature 927,116633.32556954169
Feature 3429,116427.13894291813
Feature 4519,116267.83966241358
Feature 1061,116245.20757920295
Feature 545,116004.61461680304
Feature 3829,115786.7487528749
Feature 4497,115698.98844049417
Feature 3834,115696.03679358093
Feature 841,115318.90261027883
Feature 4566,115248.53201793921
Feature 2304,115244.75697530736
Feature 2563,115205.77273962312
Feature 4850,115178.13740283511
Feature 3206,115135.64178879361
Feature 2537,115132.18581111578
Feature 3448,115122.56473128428
Feature 2480,114918.7918021755
Feature 4136,114883.22303175126
Feature 2742,114413.13896516047
Feature 1821,114386.27320871044
Feature 3438,114222.5666649323
Feature 3195,114148.57940538604
Feature 945,113886.63441022446
Feature 4790,113670.8972207468
