Feature,Importance
Feature 1534,0.2751698111443542
Feature 2535,0.25306911846987135
Feature 1720,0.2171860913948535
Feature 2658,0.21106001778196384
Feature 1358,0.2082440520991681
Feature 2453,0.20561037843743057
Feature 2980,0.20465856340472383
Feature 4567,0.2016482624854321
Feature 72,0.20128095279818092
Feature 3183,0.19685920157383324
Feature 226,0.19601133088368008
Feature 2042,0.19472014493133782
Feature 592,0.19206513363250338
Feature 4430,0.19112951489893815
Feature 1846,0.191024485559739
Feature 689,0.189880733239634
Feature 1553,0.18885705451864437
Feature 542,0.1879420622242595
Feature 1994,0.18621136494582657
Feature 4442,0.18613330921065188
Feature 1360,0.1858653220334788
Feature 130,0.18136121714653985
Feature 4496,0.18097684163298888
Feature 3016,0.1808391386438287
Feature 3772,0.17920372612923302
Feature 1909,0.17873881350190127
Feature 3406,0.17738247913059854
Feature 460,0.17612104207996543
Feature 5114,0.17527776753541024
Feature 2907,0.1744110961459382
Feature 3842,0.17322086464220993
Feature 452,0.17261281142126825
Feature 1629,0.17234345038376347
Feature 511,0.17190930084444758
Feature 4518,0.17143777279892358
Feature 18,0.17127475633824865
Feature 185,0.17120059802921175
Feature 3900,0.17101774886329815
Feature 1969,0.1701387032829642
Feature 62,0.1701124197006787
Feature 1132,0.1697450078816243
Feature 4410,0.16956147792500967
Feature 2664,0.16905964042889232
Feature 3855,0.16886432210631838
Feature 3357,0.16861175108953408
Feature 4149,0.16817505777314792
Feature 1735,0.16751597249485037
Feature 1068,0.16568625907112794
Feature 3826,0.16555561633188923
Feature 480,0.16492511486190484
Feature 1430,0.1638397690889365
Feature 1893,0.16341343964150873
Feature 3064,0.16340373833495192
Feature 1802,0.1626912453393718
Feature 794,0.16223069248000166
Feature 4016,0.16201225164670796
Feature 741,0.1617567239598599
Feature 331,0.16113713751860323
Feature 1245,0.1600096014276381
Feature 311,0.15987145045198975
Feature 2609,0.15928854953457403
Feature 4080,0.15903300239262896
Feature 335,0.15885491369462135
Feature 1389,0.15885020780524456
Feature 4380,0.1578578124127901
Feature 1146,0.15717357970153611
Feature 3127,0.15713881114019854
Feature 5015,0.15709292822622756
Feature 2992,0.15688648247792053
Feature 2014,0.1567134672672438
Feature 1539,0.1566830951021948
Feature 3919,0.1565981201720217
Feature 192,0.15623229178694942
Feature 3789,0.1555693073409569
Feature 880,0.15556505417792987
Feature 3856,0.15534618004994705
Feature 931,0.15488633697869925
Feature 849,0.15468192409091602
Feature 2384,0.15450223742376837
Feature 4887,0.15428717092349117
Feature 137,0.15405605632210112
Feature 2626,0.15395017561298147
Feature 2749,0.15353238118922313
Feature 1757,0.1534795610758172
Feature 273,0.1534027969434501
Feature 3018,0.15331194608719886
Feature 640,0.15329919542615889
Feature 1559,0.15281556660859083
Feature 2180,0.15279628508876641
