num_iterations,measured_var,learning_strategy,num_mutants_per_round,embedding_type,regression_type,first_median_fitness_scaled,first_fitness_binary_percentage,last_median_fitness_scaled,last_fitness_binary_percentage,change_median_fitness_scaled,change_fitness_binary_percentage
2,fitness,top10,8,embeddings,randomforest,0.3437601438524044,0.0,0.3437601438524044,0.0,0.0,0.0
2,fitness,top10,16,embeddings,randomforest,0.3593764198320186,0.12941176470588237,0.3593764198320186,0.12941176470588237,0.0,0.0
2,fitness,top10,32,embeddings,randomforest,0.38212792865877254,0.06666666666666668,0.38212792865877254,0.06666666666666668,0.0,0.0
3,fitness,top10,8,embeddings,randomforest,0.3437601438524044,0.0,0.4047764094099689,0.0,0.06101626555756451,0.0
3,fitness,top10,16,embeddings,randomforest,0.3593764198320186,0.12941176470588237,0.4480797709457879,0.15294117647058825,0.08870335111376926,0.023529411764705882
3,fitness,top10,32,embeddings,randomforest,0.38212792865877254,0.06666666666666668,0.39984805336596685,0.09696969696969697,0.017720124707194307,0.03030303030303029
4,fitness,top10,8,embeddings,randomforest,0.3437601438524044,0.0,0.4068269937879426,0.04444444444444444,0.06306684993553824,0.04444444444444444
4,fitness,top10,16,embeddings,randomforest,0.3593764198320186,0.12941176470588237,0.5013793979726705,0.2,0.14200297814065188,0.07058823529411765
4,fitness,top10,32,embeddings,randomforest,0.38212792865877254,0.06666666666666668,0.4548943633243578,0.15151515151515152,0.07276643466558524,0.08484848484848484
5,fitness,top10,8,embeddings,randomforest,0.3437601438524044,0.0,0.503691175798292,0.2,0.15993103194588765,0.2
5,fitness,top10,16,embeddings,randomforest,0.3593764198320186,0.12941176470588237,0.5538868806807458,0.29411764705882354,0.19451046084872714,0.16470588235294117
5,fitness,top10,32,embeddings,randomforest,0.38212792865877254,0.06666666666666668,0.5098449826568164,0.2121212121212121,0.1277170539980439,0.14545454545454542
6,fitness,top10,8,embeddings,randomforest,0.3437601438524044,0.0,0.46805703263428067,0.28888888888888886,0.12429688878187628,0.28888888888888886
6,fitness,top10,16,embeddings,randomforest,0.3593764198320186,0.12941176470588237,0.577181901617323,0.31764705882352945,0.21780548178530434,0.18823529411764708
6,fitness,top10,32,embeddings,randomforest,0.38212792865877254,0.06666666666666668,0.5647807986190536,0.2909090909090909,0.18265286996028107,0.22424242424242422
7,fitness,top10,8,embeddings,randomforest,0.3437601438524044,0.0,0.5880347416052774,0.4666666666666666,0.24427459775287297,0.4666666666666666
7,fitness,top10,16,embeddings,randomforest,0.3593764198320186,0.12941176470588237,0.5958730918583762,0.3411764705882353,0.2364966720263576,0.21176470588235294
7,fitness,top10,32,embeddings,randomforest,0.38212792865877254,0.06666666666666668,0.5989972109222691,0.3696969696969697,0.21686928226349655,0.303030303030303
8,fitness,top10,8,embeddings,randomforest,0.3437601438524044,0.0,0.6534785482185674,0.6,0.30971840436616305,0.6
8,fitness,top10,16,embeddings,randomforest,0.3593764198320186,0.12941176470588237,0.6024292283332408,0.3647058823529412,0.24305280850122213,0.23529411764705885
8,fitness,top10,32,embeddings,randomforest,0.38212792865877254,0.06666666666666668,0.6240466348488699,0.4242424242424242,0.24191870619009737,0.35757575757575755
9,fitness,top10,8,embeddings,randomforest,0.3437601438524044,0.0,0.6567391053696268,0.6444444444444445,0.3129789615172224,0.6444444444444445
9,fitness,top10,16,embeddings,randomforest,0.3593764198320186,0.12941176470588237,0.622021760239083,0.4235294117647059,0.26264534040706433,0.2941176470588235
9,fitness,top10,32,embeddings,randomforest,0.38212792865877254,0.06666666666666668,0.6348433769055003,0.4666666666666667,0.25271544824672776,0.4
10,fitness,top10,8,embeddings,randomforest,0.3437601438524044,0.0,0.67260983168323,0.6666666666666666,0.3288496878308256,0.6666666666666666
10,fitness,top10,16,embeddings,randomforest,0.3593764198320186,0.12941176470588237,0.644162876950078,0.47058823529411764,0.2847864571180594,0.3411764705882353
10,fitness,top10,32,embeddings,randomforest,0.38212792865877254,0.06666666666666668,0.6439240566005031,0.5151515151515151,0.26179612794173057,0.4484848484848485
